lemma,count
derecho,703
fundamental,262
proceso,260
administrativo,228
decisión,224
artículo,211
corte,209
social,206
sala,204
constitucional,198
salud,188
protección,183
libertad,181
tutela,180
acción,178
jurisdicción,177
declarar,176
relacionado,174
conflicto,171
expresión,162
caso,161
juzgado,158
competencia,156
ley,155
deber,150
presente,139
amparo,136
servicio,135
entidad,135
vulnerar,134
medida,133
considerar,132
público,130
judicial,128
violencia,127
accionante,124
circuito,117
persona,113
cumplimiento,113
laboral,111
auto,111
información,110
ordenar,103
regla,103
actor,103
bogotá,99
nacional,98
invocado,98
expediente,97
encontrar,96
garantía,96
concluir,96
nombre,96
accionada,95
controversia,94
penal,93
juez,93
trámite,92
mujer,91
autoridad,91
reiterar,89
general,89
jurisprudencia,88
sentencia,87
demanda,84
seguridad,83
plena,82
decidir,82
objeto,81
verificar,81
jurídico,81
red,80
acto,80
accionado,79
analizar,78
marco,77
principio,77
base,77
temática,76
ministerio,76
precitado,76
órden,75
asunto,75
peticionario,75
requisito,72
relación,72
género,72
vulneración,71
presentar,70
honra,69
presupuesto,69
constitución,68
configuración,67
personal,66
aducir,66
comunidad,65
consecuencia,65
abordar,64
materia,64
corresponder,64
solicitud,63
contenido,63
publicación,63
educación,63
recobro,63
ejercicio,62
pos,61
comunicación,61
institución,61
pago,61
trabajo,61
especial,60
actuación,60
efectivo,60
fallo,60
menor,60
instancia,60
víctima,59
situación,59
nulidad,59
disposición,59
intimidad,58
solicitar,58
objetivo,58
forma,58
condición,57
sexual,57
comunicar,57
interesado,57
eps,57
establecer,56
previsto,56
sección,56
particular,55
revisión,55
actual,55
incurrir,55
nación,54
discriminación,54
decreto,54
vida,54
corporación,54
providencia,53
procedimiento,53
adoptar,53
superior,53
igualdad,52
niño,52
efecto,52
serie,51
legal,50
tribunal,50
pbs,50
impartir,49
incluido,49
carencia,49
dispuesto,49
contencioso,49
delito,48
conocimiento,48
petición,48
resolver,48
lugar,48
disponer,48
función,47
derechos,47
prueba,47
adres,47
alcance,46
inciso,46
actividad,46
política,46
educativo,45
normativo,45
alegar,45
concede,44
cargo,44
año,43
frente,43
desconocer,43
edad,43
cuestionar,43
prestación,42
código,42
cumplir,42
atención,42
tecnología,42
demandado,42
necesario,42
goce,42
actora,42
disciplinario,42
existir,42
acoso,41
norma,41
conducta,41
imagen,41
acceso,41
defecto,41
humanos,41
directo,40
población,40
criterio,40
familia,40
despacho,40
remitir,40
virtud,39
suscitado,39
orden,39
razón,39
mencionado,39
ordinario,39
formulado,39
sentido,38
garantizar,38
seguimiento,38
incluir,38
actuar,38
origen,38
justicia,38
niña,37
ocasión,37
familiar,37
ciudadano,37
numeral,37
subjetivo,37
cuestionado,37
civil,36
reconocimiento,36
tratar,36
publicar,36
análisis,36
grupo,36
procesal,36
negar,35
república,35
sujeto,35
pretensión,35
término,35
estudiante,35
investigación,35
correspondiente,34
presentado,34
denuncia,34
falta,34
involucrado,34
proyecto,34
presunto,34
interés,34
establecido,34
procedencia,34
peticionaria,34
daño,34
elemento,33
tipo,33
conducent,33
permitir,33
fondo,33
responsabilidad,33
municipal,33
programa,32
afectar,32
generar,32
internacional,32
adolescente,32
libre,32
obligación,32
ii,31
miembro,31
recurso,31
causa,31
dignidad,31
hijo,31
tutelado,31
operador,30
fiscalía,30
violación,30
i,30
inconstitucionalidad,30
advertir,30
control,30
colombiano,29
consejo,29
ciudad,29
adelantar,29
previo,29
riesgo,29
internet,29
demandante,29
legislativo,29
plan,28
límite,28
momento,28
colombia,28
factor,28
desarrollo,28
constituir,28
dato,28
empresa,28
proceder,28
sanción,28
configurar,27
prohibición,27
humano,27
defensa,27
proteger,27
partido,27
fáctico,27
dejar,27
obstante,26
medellín,26
tema,26
superintendencia,26
conformidad,26
oral,26
integridad,26
policía,26
fijado,26
privado,26
usuario,25
propósito,25
sistema,25
organización,25
referido,25
contar,25
pretender,25
digital,25
constatar,25
video,25
económico,25
interponer,25
formular,24
indicar,24
imponer,24
confirmar,24
funcionario,24
político,24
facebook,24
discurso,24
accionant,24
carácter,24
necesidad,24
periodista,24
audiencia,24
prensa,24
estudio,24
emergencia,24
contrato,23
subsección,23
beneficiario,23
académico,23
participación,23
material,23
atribuir,23
territorial,23
obtener,23
igualmente,23
respuesta,23
afectación,23
aplicación,23
iii,23
determinar,23
opinión,22
contexto,22
institucional,22
sucesivo,22
afiliado,22
constitucionalidad,22
vivienda,22
precedente,22
sociedad,22
cosa,22
mensaje,22
afirmación,22
resultar,22
argumento,21
concreto,21
exhortar,21
incumplimiento,21
administración,21
ejercer,21
envío,21
fundamento,21
dictar,20
acceder,20
indígena,20
temático,20
argumentar,20
relativo,20
aplicar,20
étnico,20
competente,20
unidad,20
identidad,20
prevención,20
administradora,20
cundinamarca,20
proferido,20
implicar,20
abstener,20
universidad,19
enfoque,19
transición,19
plataforma,19
pena,19
reparación,19
subsidiariedad,19
impedir,19
docente,19
comisión,19
intrafamiliar,19
reserva,19
consumado,19
carga,19
relacionar,19
cuyo,19
notificación,19
escolar,19
superado,19
concedió,19
motivo,18
grave,18
valor,18
parcial,18
estudiar,18
prestado,18
responsable,18
exequibilidad,18
conforme,18
facultad,18
b,18
reconocer,18
referencia,18
mecanismo,18
estricto,18
impuesto,18
precisar,18
suficiente,18
régimen,18
obligatorio,18
concepto,18
adoptado,18
departamento,18
hija,17
c,17
valoración,17
sustantivo,17
escenario,17
adelantado,17
inconstitucional,17
amenaza,17
improcedente,17
omisión,17
asegurar,17
ordinaria,17
especialmente,17
apoyo,17
oportunidad,17
municipio,17
asociación,17
iniciar,17
pronunciamiento,17
tratamiento,17
médico,17
gobierno,17
gestión,17
interior,17
inmediato,17
consulta,17
fe,17
entendido,17
empleador,17
elección,17
técnico,17
pandemia,17
vía,16
tutelante,16
cualquiera,16
demostrar,16
improcedencia,16
representante,16
práctica,16
nivel,16
basado,16
específico,16
autonomía,16
fenómeno,16
indígén,16
existencia,16
declaratoria,16
divulgación,16
cambio,16
juicio,16
sanitas,16
twitter,16
rechazar,16
estatal,16
congreso,16
pueblo,16
militar,16
requerir,16
espacio,16
favor,15
dirigido,15
habeas,15
regular,15
debate,15
violar,15
demandar,15
independiente,15
representación,15
instar,15
legítimo,15
perspectiva,15
naturaleza,15
grado,15
cauca,15
mínimo,15
convivencia,15
valorar,15
vigente,15
ordenamiento,15
discriminatorio,15
madre,15
perjuicio,14
imparcialidad,14
exclusivamente,14
emitir,14
integral,14
autorización,14
afectado,14
demandada,14
web,14
únicamente,14
universitario,14
desconocimiento,14
causado,14
parámetro,14
derivado,14
periódico,14
superar,14
procedibilidad,14
exequible,14
dimensión,14
jurisprudencial,14
periodístico,14
dirección,14
conceder,14
rectificación,14
ámbito,14
asumir,14
seguir,14
formal,14
cabo,14
informar,14
referir,14
expuesto,13
ofrecer,13
venezolano,13
suma,13
litigio,13
perfil,13
formación,13
pertenecer,13
proferir,13
físico,13
distrito,13
joven,13
referente,13
satisfacer,13
fotografía,13
tomar,13
señalar,13
expidir,13
respectivo,13
problema,13
entorno,13
posibilidad,13
financiación,13
autos,13
asignar,13
dirigir,13
canal,13
publicidad,13
argumentativo,13
armado,13
recibir,13
aplicable,13
discapacidad,13
fuero,13
terminación,12
vincular,12
suspensión,12
psicológico,12
interpretación,12
protegido,12
extinto,12
sede,12
inocencia,12
fuerza,12
convocar,12
calidad,12
servidor,12
consideración,12
fundación,12
protocolo,12
sindical,12
económica,12
manifestación,12
alegado,12
ocurrir,12
especialidad,12
acreditar,12
clase,12
único,12
electoral,12
presunción,12
injuria,12
interpuesto,12
atender,12
negó,12
derivar,12
padre,12
matoneo,12
fecha,12
aspecto,12
pertinente,12
documento,12
destacar,12
desempeñar,12
radicar,12
enviar,12
pedir,12
hacer él,11
laicidad,11
personalidad,11
líder,11
prever,11
religioso,11
denegar,11
penitenciario,11
ecológica,11
manifestar,11
colectivo,11
territorio,11
afirmar,11
condenar,11
terminar,11
someter,11
idóneo,11
prisión,11
énfasis,11
lineamiento,11
medicamento,11
brindar,11
otorgar,11
eliminar,11
tributario,11
religión,11
tendient,11
elegir,11
causal,11
declaración,11
denominado,11
divulgar,11
desalojo,11
vulnerado,11
valle,11
distinto,11
industria,11
comercio,11
suscitar,11
circunstancia,11
esquema,11
censura,11
difundir,11
paz,11
proferida,11
promiscuo,11
comité,11
cabeza,11
sanitario,10
abuso,10
reforzado,10
acreditado,10
covid,10
tramitar,10
activo,10
precitada,10
acompañamiento,10
curso,10
consiguiente,10
incumplir,10
beneficio,10
desproporcionado,10
aparecer,10
resolución,10
prevenir,10
inscripción,10
quinta,10
núcleo,10
legitimación,10
mandato,10
directivo,10
carta,10
legalidad,10
antioquia,10
resguardo,10
cosas,10
trabajador,10
página,10
excepción,10
labor,10
acusado,10
duda,10
amparar,10
sancionar,10
queja,10
buscar,10
impugnación,10
importancia,10
calumnia,10
policivo,10
íntimo,10
observar,10
involucrar,10
desarrollar,10
capacidad,10
componente,10
treinta,10
crédito,10
cali,10
emocional,10
colegio,10
producto,10
